"way_id","k","v"
869,"name","DANAO CIRCUMFERENTIAL RD."
869,"or_brgy","Danao"
869,"or_responsibility","barangay"
869,"highway","unclassified"
903,"source","OpenRoads"
903,"rd_cond","fair"
903,"or_mun","Antequera"
903,"name","ANTEQUERA SAN ISIDRO RD."
903,"or_brgy","Tabuan"
903,"or_responsibility","national"
903,"highway","primary"
934,"source","OpenRoads"
934,"rd_cond","good"
934,"or_mun","Antequera"
934,"name","QUINAPON-AN TABUAN RD"
934,"or_brgy","Quinapon-An"
934,"or_responsibility","barangay"
934,"highway","unclassified"
941,"source","OpenRoads"
941,"rd_cond","good"
941,"or_mun","Antequera"
941,"name","CANSIBUAN CANLAAS RD"
941,"or_brgy","Canlaas"
941,"or_responsibility","barangay"
941,"highway","unclassified"
946,"source","OpenRoads"
946,"rd_cond","bad"
946,"or_mun","Antequera"
946,"name","AGAD ROAD"
946,"or_brgy","Poblacion"
946,"or_responsibility","barangay"
946,"highway","unclassified"
